date,value
2020-10-10 00:00:00,11954.0
2020-10-11 00:00:00,38531.0
2020-10-12 00:00:00,5469.0
2020-10-13 00:00:00,7453.0
2020-10-14 00:00:00,4663.0
2020-10-15 00:00:00,24186.0
2020-10-16 00:00:00,16175.0
2020-10-17 00:00:00,8667.0
2020-10-18 00:00:00,5471.0
2020-10-19 00:00:00,25954.0
2020-10-20 00:00:00,15594.0
2020-10-21 00:00:00,5006.0
2020-10-22 00:00:00,31468.0
2020-10-23 00:00:00,26115.0
2020-10-24 00:00:00,17409.0
2020-10-25 00:00:00,33518.0
2020-10-26 00:00:00,5642.0
2020-10-27 00:00:00,3413.0
2020-10-28 00:00:00,34324.0
2020-10-29 00:00:00,17717.0
2020-10-30 00:00:00,11213.0
2020-10-31 00:00:00,10282.0
2020-11-01 00:00:00,25604.0
2020-11-02 00:00:00,1721.0
2020-11-03 00:00:00,15941.0
2020-11-04 00:00:00,15785.0
2020-11-05 00:00:00,12820.0
2020-11-06 00:00:00,3558.0
2020-11-07 00:00:00,1898.0
2020-11-08 00:00:00,7176.0
2020-11-09 00:00:00,7960.0
2020-11-10 00:00:00,2366.0
2020-11-11 00:00:00,1681.0
2020-11-12 00:00:00,470.0
2020-11-13 00:00:00,3279.0
2020-11-14 00:00:00,3584.0
2020-11-15 00:00:00,13361.0
2020-11-16 00:00:00,8539.0
2020-11-17 00:00:00,3078.0
2020-11-18 00:00:00,1365.0
2020-11-19 00:00:00,4888.0
2020-11-20 00:00:00,27379.0
2020-11-21 00:00:00,4613.0
2020-11-22 00:00:00,903.0
2020-11-23 00:00:00,2196.0
2020-11-24 00:00:00,5365.0
2020-11-25 00:00:00,21062.0
2020-11-26 00:00:00,1025.0
2020-11-27 00:00:00,11500.0
2020-11-28 00:00:00,8136.0
2020-11-29 00:00:00,2285.0
2020-11-30 00:00:00,2161.0
2020-12-01 00:00:00,4085.0
2020-12-02 00:00:00,1009.0
2020-12-03 00:00:00,9506.0
2020-12-04 00:00:00,1807.0
2020-12-05 00:00:00,11108.0
2020-12-06 00:00:00,1749.0
2020-12-07 00:00:00,14541.0
2020-12-08 00:00:00,898.0
2020-12-09 00:00:00,2911.0
2020-12-10 00:00:00,166.0
